DeviceID,Timestamp,Temp_C,Humidity,Pressure,Vibration,Voltage,Current,Power,SignalStrength,Battery,ErrorCode,Latitude,Longitude,Location,Firmware,UptimeSec,MaintenanceDueDays,Status
Dev1013,2024-10-26,54.3,51.03,981.46,4.552,3.262,1.449,25.42,79,19.0,Warn,32.334414,83.393944,Plant2,V2.7,1970-01-01 00:00:00.000021297,41,Active
Dev1022,2024-09-24,41.41,16.73,984.29,3.916,3.006,0.514,88.24,68,44.0,E3,33.082758,81.292603,Plant2,V1.6,1970-01-01 00:00:00.000572152,104,Idle
Dev1041,2024-08-12,29.46,60.73,1026.49,0.444,4.727,1.268,25.05,85,71.0,E1,34.798644,86.795146,Outdoor,V4.6,1970-01-01 00:00:00.000835441,80,Fault
Dev1028,2024-11-18,40.61,67.96,986.29,3.004,3.753,0.995,58.03,28,37.0,E1,8.19491,91.173926,Plant1,V1.9,1970-01-01 00:00:00.000994381,58,Active
Dev1009,2024-07-01,5.06,88.41,1016.02,1.705,4.979,1.666,38.34,37,33.0,E1,16.167862,72.807478,Warehouse,V1.5,1970-01-01 00:00:00.000686466,35,Idle
Dev1007,2024-11-21,55.24,59.94,951.43,4.095,3.908,0.954,51.39,89,11.0,E2,9.965174,69.668872,Plant1,V1.0,1970-01-01 00:00:00.000625564,58,Active
Dev1030,2024-07-01,57.04,23.63,1010.91,3.398,4.127,1.277,82.86,37,77.0,Warn,23.296778,89.806271,Plant1,V1.9,1970-01-01 00:00:00.000525968,310,Idle
Dev1035,2024-12-29,57.12,81.07,999.99,1.591,3.496,0.937,91.1,26,10.0,Ok,33.870339,96.993117,Plant1,V5.0,1970-01-01 00:00:00.000673372,299,Fault
Dev1005,2024-07-01,25.7,42.41,991.86,0.511,4.821,0.156,42.76,63,61.0,E1,24.306399,92.956805,Plant2,V5.9,1970-01-01 00:00:00.000689965,182,Idle
Dev1035,2024-07-01,54.94,46.6,1046.74,2.723,4.889,1.818,43.88,49,27.0,Ok,16.499931,71.750503,Warehouse,V5.1,1970-01-01 00:00:00.000945761,269,Fault
Dev1022,2024-03-23,4.67,1.25,1034.41,2.165,3.571,1.454,32.91,81,47.0,E3,18.497018,69.186604,Warehouse,V5.7,1970-01-01 00:00:00.000314969,246,Fault
Dev1035,2024-09-13,54.41,54.8,1018.83,0.555,4.282,0.506,23.66,76,2.0,Warn,27.611326,69.984414,Warehouse,V5.5,1970-01-01 00:00:00.000907669,76,Idle
Dev1006,2024-02-10,54.38,66.89,1034.17,2.1,3.206,0.064,86.74,29,22.0,Ok,23.406901,73.419215,Plant1,V3.7,1970-01-01 00:00:00.000877723,70,Idle
Dev1042,2024-07-01,47.11,96.24,1026.35,1.833,4.026,0.043,18.21,35,45.0,Warn,23.852437,90.258611,Plant1,V1.2,1970-01-01 00:00:00.000842129,99,Active
Dev1028,2024-10-26,35.56,33.12,1000.62,0.996,3.814,1.636,57.09,59,81.0,E3,24.837482,71.961806,Warehouse,V4.1,1970-01-01 00:00:00.000776702,196,Active
Dev1043,2024-09-24,-9.75,27.31,1022.17,1.828,3.827,0.756,8.92,62,13.0,Ok,33.597396,92.922632,Plant1,V4.1,1970-01-01 00:00:00.000565099,265,Active
Dev1003,2024-07-01,-5.0,85.93,1005.21,0.536,3.412,0.269,74.44,75,47.0,Ok,32.866885,76.550037,Plant2,V1.5,1970-01-01 00:00:00.000435747,41,Fault
Dev1002,2024-09-24,21.45,9.31,996.52,1.307,3.599,1.429,88.57,18,54.0,E3,36.101526,84.935823,Plant2,V1.3,1970-01-01 00:00:00.000901959,219,Idle
Dev1020,2024-07-01,-8.34,76.03,984.28,3.851,4.368,0.503,61.09,91,36.0,E2,24.707503,72.835638,Outdoor,V5.3,1970-01-01 00:00:00.000122684,81,Fault
